Id;Topic;Min Type;Min Value;Max Type;Max Value;Type;Unit;Current Type;Current Value;Column1
INSTALL_MODE;device/status/BidCoS-RF/0/INSTALL_MODE;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
LEVEL;device/status/BidCoS-RF/1/LEVEL;Number;0;Number;1;FLOAT;1;Number;0;
PRESS_LONG;device/status/BidCoS-RF/1/PRESS_LONG;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
PRESS_SHORT;device/status/BidCoS-RF/1/PRESS_SHORT;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
LEVEL;device/status/BidCoS-RF/10/LEVEL;Number;0;Number;1;FLOAT;1;Number;0;
PRESS_LONG;device/status/BidCoS-RF/10/PRESS_LONG;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
PRESS_SHORT;device/status/BidCoS-RF/10/PRESS_SHORT;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
LEVEL;device/status/BidCoS-RF/11/LEVEL;Number;0;Number;1;FLOAT;1;Number;0;
PRESS_LONG;device/status/BidCoS-RF/11/PRESS_LONG;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
PRESS_SHORT;device/status/BidCoS-RF/11/PRESS_SHORT;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
LEVEL;device/status/BidCoS-RF/12/LEVEL;Number;0;Number;1;FLOAT;1;Number;0;
PRESS_LONG;device/status/BidCoS-RF/12/PRESS_LONG;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
PRESS_SHORT;device/status/BidCoS-RF/12/PRESS_SHORT;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
LEVEL;device/status/BidCoS-RF/13/LEVEL;Number;0;Number;1;FLOAT;1;Number;0;
PRESS_LONG;device/status/BidCoS-RF/13/PRESS_LONG;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
PRESS_SHORT;device/status/BidCoS-RF/13/PRESS_SHORT;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
LEVEL;device/status/BidCoS-RF/14/LEVEL;Number;0;Number;1;FLOAT;1;Number;0;
PRESS_LONG;device/status/BidCoS-RF/14/PRESS_LONG;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
PRESS_SHORT;device/status/BidCoS-RF/14/PRESS_SHORT;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
LEVEL;device/status/BidCoS-RF/15/LEVEL;Number;0;Number;1;FLOAT;1;Number;0;
PRESS_LONG;device/status/BidCoS-RF/15/PRESS_LONG;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
PRESS_SHORT;device/status/BidCoS-RF/15/PRESS_SHORT;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
LEVEL;device/status/BidCoS-RF/16/LEVEL;Number;0;Number;1;FLOAT;1;Number;0;
PRESS_LONG;device/status/BidCoS-RF/16/PRESS_LONG;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
